molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL2316336,39000.0,nM,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)OCc1ccccc1)[C@@H](C)O)C(C)C)C(=O)N[C@H](C#N)CCC(N)=O,4.4089353929735005
CHEMBL3099525,39870.0,nM,O=C1C(=O)N(Cc2ccc3ccccc3c2)c2ccc(S(=O)(=O)N3CCOCC3)cc21,4.399353764337605
CHEMBL492768,39900.0,nM,O=C(O)/C(O)=C/C(=O)c1ccc(OCc2ccccc2)cc1,4.399027104313252
CHEMBL1448,40000.0,nM,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,4.3979400086720375
CHEMBL1906723,40900.0,nM,COc1ccc(C(=O)Cn2c(NCCO)nc3ccccc32)cc1,4.388276691992658
CHEMBL3810361,41200.0,nM,O=C(O)c1ccccc1-c1ccc(/C=C2\C(=O)N(c3ccccc3)N=C2c2ccccc2)o1,4.3851027839668655
CHEMBL1315054,41390.0,nM,Cc1ccc(C(=O)N/C(=C\c2ccc(-c3ccccc3[N+](=O)[O-])o2)C(=O)NCCCN(C)C)cc1,4.38310457359924
CHEMBL1277047,42000.0,nM,O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(OC(F)(F)F)cc3)N=C2c2ccccc2)cc1,4.376750709602099
CHEMBL4213159,42100.0,nM,CC(C)C[C@H](NC(=O)OC1CCN(S(C)(=O)=O)CC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-].[Na+],4.375717904164332
CHEMBL551529,42900.0,nM,N#Cc1cccc(COc2cc(O)c3c(=O)c(O)c(-c4ccc5c(c4)OCO5)oc3c2)c1,4.367542707815276
CHEMBL3808795,44700.0,nM,O=C(O)c1cccc(N2N=C(c3ccccc3)/C(=C/c3ccc(-c4cc(Cl)ccc4C(=O)O)o3)C2=O)c1,4.349692476868063
CHEMBL2316338,49000.0,nM,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@H](C#N)CCC(N)=O,4.309803919971486
CHEMBL2316339,49000.0,nM,Cc1cc(C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)CCC(N)=O)C(C)C)no1,4.309803919971486
CHEMBL197308,49600.0,nM,CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2,4.304518323509803
CHEMBL3099540,51330.0,nM,O=C1Nc2ccc(S(=O)(=O)N3CCN(c4ccccn4)CC3)cc2C1=O,4.289628735739237
CHEMBL1774322,58350.0,nM,Nc1nc(CSc2nnc(-c3cccc4ccccc34)n2-c2ccccc2)cs1,4.233959139618611
CHEMBL399121,60000.0,nM,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,4.221848749616356
CHEMBL1478361,61900.0,nM,COc1ccc(N(CC(=O)NCc2ccco2)S(C)(=O)=O)cc1,4.208309350979882
CHEMBL1774323,62790.0,nM,COc1cc(C2C(C(=O)c3ccc(OCC(C)C)cc3C)=C(O)C(=O)N2CCN(C)C)ccc1O,4.202109516941651
CHEMBL3099545,67200.0,nM,CN1CCN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3Cc2ccccc2)CC1,4.172630726946175
CHEMBL508791,68100.0,nM,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(Oc4c(O)cc(Oc5c(O)cc(O)c6c5Oc5c(O)cc(O)cc5O6)cc4O)cc2O3)c1,4.166852888087215
CHEMBL378188,72300.0,nM,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1-c1c(O)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12,4.140861702705469
CHEMBL1732790,74500.0,nM,OCCCc1nc2ccccc2n1CCOc1ccccc1,4.127843727251707
CHEMBL1392147,76700.0,nM,CCOc1ccc(S(=O)(=O)NCc2ccc3c(c2)OCO3)cc1C,4.115204636051019
CHEMBL3099533,76740.0,nM,CN1CCN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3)CC1,4.114978205137702
CHEMBL1774325,77090.0,nM,COc1cc(/C=N/NC(=O)/C(=C\c2ccccc2)NC(=O)c2ccccc2)cc(OC)c1O,4.113001954328901
CHEMBL238217,80000.0,nM,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C,4.096910013008056
CHEMBL3099546,82910.0,nM,CN1CCN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3Cc2ccc3ccccc3c2)CC1,4.081393084855018
CHEMBL1774326,90720.0,nM,O=C(CSc1ncnc2c1sc1nc(N3CCOCC3)c3c(c12)CCCC3)NCc1ccco1,4.0422969584511685
CHEMBL1774324,101380.0,nM,Cc1nc(C)c(C(=O)C2=C(O)C(=O)N(CCCN3CCOCC3)C2c2cccc([N+](=O)[O-])c2)s1,3.994047713112617
CHEMBL8145,105000.0,nM,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,3.9788107009300617
CHEMBL456228,112000.0,nM,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(Oc4c(O)cc(O)cc4O)cc2O3)c1,3.950781977329818
